treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Road Pricing,249,x5lr3yks,169,169,A_Planet3_ES,End,29:24.4,1,ES,10,0,1,3,3,2,1,1,4,8,3,,1,3,,2,1,0,,5,3,,6,6,4,uln4i2w2
Social Norm,250,absgb5uj,169,169,A_Planet3_ES,End,16:53.2,1,ES,6,1,0,2,,0,2,2,0,83,0,,0,3,,2,1,0,,2,1,,2,5,3,uln4i2w2
Baseline,251,1d0poo9h,169,169,A_Planet3_ES,End,39:42.8,1,ES,95,1,1,0,4,0,2,2,2,95,0,,0,5,,2,0,0,,2,0,,1,4,3,uln4i2w2
Pollution,252,xiq7fltm,169,169,A_Planet3_ES,End,15:22.4,1,ES,99,1,1,1,4,2,2,2,2,73,1,,0,2,,1,3,3,,0,3,,4,5,3,uln4i2w2
Public Services,253,iv701z17,169,169,A_Planet3_ES,End,23:21.7,1,ES,64,1,1,0,4,2,2,2,0,5,0,,0,3,,1,3,0,,0,1,,4,3,3,uln4i2w2
Road Pricing,254,kevmuj1h,169,169,A_Planet3_ES,End,49:13.1,1,ES,78,1,1,0,4,1,2,0,2,73,1,,1,0,,1,1,1,1,4,2,,5,3,3,uln4i2w2
Social Norm,255,tf5jk4n7,169,169,A_Planet3_ES,End,05:30.0,1,ES,91,1,1,1,4,2,0,1,2,92,0,,0,3,,0,0,0,,8,0,,3,4,2,uln4i2w2
Baseline,256,7ezg3uk8,169,169,A_Planet3_ES,End,22:10.0,1,ES,90,0,1,0,4,2,2,2,1,93,0,,0,2,,2,2,1,,3,2,,4,3,5,uln4i2w2
Pollution,257,9iqp2x07,169,169,A_Planet3_ES,End,56:36.8,1,ES,80,1,1,1,4,0,2,2,2,4,1,,0,4,,1,3,1,,0,0,,3,5,3,uln4i2w2
Public Services,258,vywa3ivw,169,169,A_Planet3_ES,End,38:30.5,1,ES,21,1,0,0,,1,2,1,2,64,1,,0,0,,1,1,1,1,10,,"Tomar el transporte público significaría dedicar demasiado tiempo, mucho más del que tengo disponible, a desplazarme al destino en cuestión (más la vuelta), y de hecho adquirí el vehículo con el que viaje para realizar este trayecto en cuestión.",3,4,2,uln4i2w2
Road Pricing,259,n0j1ad5p,169,169,A_Planet3_ES,End,10:56.6,1,ES,88,1,1,1,4,1,2,2,1,78,7,Intercambiador Plza. Elíptica,0,3,,0,0,1,,10,,Metro es la mejor.,3,2,3,uln4i2w2
Social Norm,260,34wr3ho4,169,169,A_Planet3_ES,End,49:01.5,1,ES,81,1,1,1,4,1,2,2,2,73,1,,0,4,,1,1,0,,3,1,,3,4,3,uln4i2w2
Baseline,261,vshbi7qp,169,169,A_Planet3_ES,End,08:52.4,1,ES,88,1,0,1,,2,2,2,0,94,0,,0,3,,0,1,1,,5,2,,2,4,3,uln4i2w2
Pollution,262,xibdhyj2,169,169,A_Planet3_ES,End,57:03.9,1,ES,78,0,2,,4,2,2,2,0,83,0,,0,3,,0,1,0,,4,1,,3,5,2,uln4i2w2
Public Services,263,9xuydnwh,169,169,A_Planet3_ES,End,35:19.7,1,ES,86,1,1,0,4,0,2,2,2,64,1,,0,4,,0,3,0,,0,1,,2,4,5,uln4i2w2
Road Pricing,264,dfiaeh3q,169,169,A_Planet3_ES,End,00:43.8,1,ES,14,0,2,,4,2,2,0,2,10,5,,2,1,,2,4,3,1,7,1,,6,6,5,uln4i2w2
Social Norm,265,cqigxlf9,169,169,A_Planet3_ES,End,23:54.9,1,ES,86,1,1,0,4,2,2,2,2,86,6,,2,5,,2,0,0,,2,1,,3,5,3,uln4i2w2
Baseline,266,46eh1004,169,169,A_Planet3_ES,End,11:20.9,1,ES,80,0,2,,4,1,2,2,2,73,0,,0,2,,2,2,0,,3,2,,4,5,3,uln4i2w2
Pollution,267,owh0yuj3,169,169,A_Planet3_ES,End,07:37.3,1,ES,6,1,0,0,,0,0,2,0,64,1,,0,0,,1,0,1,1,6,0,,3,5,2,uln4i2w2
Public Services,268,zw6h1g9v,169,169,A_Planet3_ES,End,21:49.2,1,ES,91,1,0,1,,1,2,2,0,143,0,,0,2,,0,3,2,,0,0,,3,5,3,uln4i2w2
Road Pricing,269,lhana9pt,169,169,A_Planet3_ES,End,45:34.6,1,ES,64,1,0,0,,0,2,0,0,78,0,,0,4,,1,1,0,,0,1,,1,5,4,uln4i2w2
Social Norm,270,7s5p6atu,169,169,A_Planet3_ES,End,39:59.8,1,ES,84,1,1,1,4,2,2,2,2,64,1,,0,4,,1,3,0,,2,0,,3,5,3,uln4i2w2
Baseline,271,vw95jws5,169,169,A_Planet3_ES,End,23:38.0,1,ES,130,1,0,1,,0,2,2,0,5,0,,0,0,,0,2,3,1,3,2,,3,4,2,uln4i2w2
Pollution,272,a6r2q1fk,169,169,A_Planet3_ES,End,41:23.3,1,ES,87,1,1,0,4,2,2,2,2,87,4,,2,5,,2,0,0,,2,0,,3,4,3,uln4i2w2
Public Services,273,w9soq5rw,169,169,A_Planet3_ES,End,41:35.4,1,ES,45,1,1,1,4,1,2,2,4,89,1,,1,2,,1,3,0,,4,0,,2,4,3,uln4i2w2
Road Pricing,274,1e36dal6,169,169,A_Planet3_ES,End,01:59.2,1,ES,73,0,2,,4,1,1,0,4,6,5,,1,4,,1,0,0,,3,1,,3,4,3,uln4i2w2
Social Norm,275,f4eq8z4d,169,169,A_Planet3_ES,End,35:09.3,1,ES,80,1,0,0,,1,1,2,1,84,0,,0,3,,0,2,2,,8,0,,4,5,2,uln4i2w2
Baseline,276,3mcrze9h,169,169,A_Planet3_ES,End,36:10.7,1,ES,92,1,0,0,,0,0,2,4,81,6,,2,8,,1,1,2,1,6,1,,4,5,3,uln4i2w2
Pollution,277,ru77h66k,169,169,A_Planet3_ES,End,08:05.2,1,ES,21,1,1,0,4,0,2,2,2,73,1,,1,0,,1,0,2,1,1,1,,2,4,5,uln4i2w2
Public Services,278,mqzxt6s3,169,169,A_Planet3_ES,End,13:37.5,1,ES,12,1,1,0,4,0,1,2,5,87,0,,0,4,,0,2,1,,2,1,,1,5,3,uln4i2w2
Road Pricing,279,ql1twpop,169,169,A_Planet3_ES,End,29:05.9,1,ES,80,1,1,2,4,0,2,2,0,80,6,,3,5,,2,1,0,,2,1,,3,5,3,uln4i2w2
Social Norm,280,49rr85te,169,169,A_Planet3_ES,End,56:27.4,1,ES,64,0,2,,4,0,2,2,2,73,1,,1,3,,1,0,1,,2,0,,3,4,3,uln4i2w2
Baseline,281,jlo6442n,169,169,A_Planet3_ES,End,58:46.5,1,ES,92,1,0,0,,1,0,1,0,82,0,,0,8,,1,0,1,1,0,1,,4,5,3,uln4i2w2
Pollution,282,gg8ko6p0,169,169,A_Planet3_ES,End,21:32.5,1,ES,48,1,0,2,,1,1,1,0,169,0,,0,0,,0,1,2,1,4,2,,1,4,4,uln4i2w2
Public Services,283,7r44bqmz,169,169,A_Planet3_ES,End,29:09.1,1,ES,5,0,1,0,2,2,0,2,5,6,6,,1,4,,0,4,5,,7,3,,6,6,2,uln4i2w2
Road Pricing,284,5opullri,169,169,A_Planet3_ES,End,37:01.4,1,ES,86,1,0,0,,0,2,2,2,64,1,,0,4,,1,3,0,,3,0,,3,4,3,uln4i2w2
Social Norm,285,2ckjnw69,169,169,A_Planet3_ES,End,29:55.4,1,ES,98,1,2,,4,1,2,2,2,79,1,,0,3,,0,2,1,,0,0,,1,4,4,uln4i2w2
Baseline,286,dq5vdyxt,169,169,A_Planet3_ES,End,22:01.0,1,ES,88,1,1,0,4,1,2,2,0,82,0,,0,3,,0,1,1,,2,0,,3,4,2,uln4i2w2
Pollution,287,24zavgfb,169,169,A_Planet3_ES,End,56:01.3,1,ES,90,1,1,1,4,1,1,1,0,64,5,,3,0,,1,1,1,1,4,0,,3,4,4,uln4i2w2
Public Services,288,ac5dpxqa,169,169,A_Planet3_ES,End,12:08.7,1,ES,6,1,0,1,,2,2,2,0,84,0,,0,2,,1,2,0,,0,0,,2,5,4,uln4i2w2
Road Pricing,289,ghlcrg8a,169,169,A_Planet3_ES,End,21:52.7,1,ES,87,1,1,1,4,1,2,2,2,73,1,,0,4,,1,2,0,,2,0,,3,4,5,uln4i2w2
Baseline,291,mmxp1r7r,169,169,A_Planet3_ES,End,11:57.9,1,ES,73,1,1,0,4,0,2,2,2,73,1,,0,5,,2,0,0,,5,0,,4,5,5,uln4i2w2
Pollution,292,rb5hqtd2,169,169,A_Planet3_ES,End,26:40.7,1,ES,88,1,2,,4,2,2,1,2,73,1,,2,4,,0,2,0,,2,0,,2,4,3,uln4i2w2
Public Services,293,0msu1j7j,169,169,A_Planet3_ES,End,07:53.3,1,ES,86,1,1,1,4,1,0,1,0,85,5,,0,0,,2,0,1,1,2,3,,2,4,3,uln4i2w2
Road Pricing,294,mb86sa8c,169,169,A_Planet3_ES,End,08:38.8,1,ES,64,1,0,1,,0,2,1,1,80,0,,2,0,,2,0,2,1,2,1,,4,5,4,uln4i2w2
Social Norm,295,b1dwyumm,169,169,A_Planet3_ES,End,21:28.1,1,ES,6,1,1,0,4,1,2,1,0,81,6,,2,3,,1,0,0,,4,1,,2,5,4,uln4i2w2
Baseline,296,efidc6vw,169,169,A_Planet3_ES,End,13:00.6,1,ES,130,1,0,0,,2,2,1,2,64,1,,1,0,,2,1,3,1,4,2,,2,5,2,uln4i2w2
Pollution,297,1csaja5j,169,169,A_Planet3_ES,End,13:48.4,1,ES,87,1,2,,4,1,2,1,2,80,1,,0,2,,1,1,2,,10,,No tengo ruta alternativa que llegue a mi destino,4,3,3,uln4i2w2
Public Services,298,ek56lqts,169,169,A_Planet3_ES,End,38:10.8,1,ES,91,1,0,0,,1,1,1,0,64,0,,0,0,,1,0,1,1,4,1,,2,3,3,uln4i2w2
Road Pricing,299,6ns96kzs,169,169,A_Planet3_ES,End,19:38.9,1,ES,73,1,1,1,4,2,2,2,0,81,0,,0,0,,1,1,0,1,4,1,,2,4,4,uln4i2w2
Social Norm,300,3w25c0m1,169,169,A_Planet3_ES,End,36:00.8,1,ES,98,1,1,2,4,2,2,2,2,64,1,,0,4,,1,1,0,,0,0,,2,4,3,uln4i2w2
Baseline,301,6i0h5wi4,169,169,A_Planet3_ES,End,28:41.2,1,ES,1,0,0,3,,2,2,0,3,13,6,,0,4,,0,1,3,,4,2,,6,6,4,uln4i2w2
Pollution,302,ffb96eam,169,169,A_Planet3_ES,End,09:05.3,1,ES,6,1,1,1,4,0,2,2,2,64,1,,1,3,,1,1,3,,0,0,,3,4,2,uln4i2w2
Public Services,303,i5eg5b0r,169,169,A_Planet3_ES,End,23:23.4,1,ES,6,1,2,,4,1,2,1,0,5,0,,0,3,,0,3,3,,0,0,,1,4,3,uln4i2w2
Road Pricing,304,uw4hh2jw,169,169,A_Planet3_ES,End,35:02.0,1,ES,81,1,0,0,,1,2,2,0,143,0,,0,2,,0,1,0,,0,1,,2,4,3,uln4i2w2
Social Norm,305,4jze1n2r,169,169,A_Planet3_ES,End,06:52.1,1,ES,98,1,1,0,4,0,2,2,0,83,0,,0,3,,0,1,0,,0,2,,3,4,4,uln4i2w2
Baseline,306,zqz532qu,169,169,A_Planet3_ES,End,14:02.4,1,ES,73,1,1,1,4,0,1,1,2,130,1,,1,0,,1,0,1,1,4,2,,2,4,3,uln4i2w2
Pollution,307,ltvgs7sv,169,169,A_Planet3_ES,End,34:51.5,1,ES,91,1,1,0,2,0,2,1,2,64,1,,0,2,,0,1,2,,0,1,,4,3,2,uln4i2w2
Public Services,308,gudrr5pm,169,169,A_Planet3_ES,End,50:54.2,1,ES,91,0,2,,4,0,2,2,2,73,1,,0,4,,1,1,0,,1,0,,1,4,3,uln4i2w2
Road Pricing,309,7cedtfjx,169,169,A_Planet3_ES,End,33:56.6,1,ES,85,1,0,0,,1,2,1,0,81,0,,0,3,,1,1,1,,4,0,,3,2,4,uln4i2w2
Social Norm,310,we2x75pj,169,169,A_Planet3_ES,End,01:33.6,1,ES,4,0,2,,2,1,1,1,4,2,3,,3,1,,2,2,1,0,10,,cercania,6,6,4,uln4i2w2
Baseline,311,igkulx8h,169,169,A_Planet3_ES,End,10:17.1,1,ES,21,1,0,1,,0,2,2,2,73,1,,0,0,,1,1,1,1,3,2,,3,5,3,uln4i2w2
Pollution,312,7i4hi98y,169,169,A_Planet3_ES,End,14:33.7,1,ES,88,1,2,,4,2,2,2,2,82,1,,0,3,,0,0,1,,0,2,,3,4,2,uln4i2w2
Public Services,313,n9zu972y,169,169,A_Planet3_ES,End,44:02.8,1,ES,21,1,0,0,,2,1,2,2,64,1,,0,0,,2,1,1,1,1,0,,2,5,3,uln4i2w2
Road Pricing,314,o5y27rxx,169,169,A_Planet3_ES,End,30:22.7,1,ES,64,1,0,0,,2,2,2,0,72,0,,0,0,,2,1,1,1,3,2,,2,4,4,uln4i2w2
Social Norm,315,fctjiy03,169,169,A_Planet3_ES,End,27:54.4,1,ES,91,1,1,1,4,0,0,2,2,73,1,,0,4,,1,1,0,,8,0,,2,4,3,uln4i2w2
Baseline,316,vfg2xvzh,169,169,A_Planet3_ES,End,46:20.9,1,ES,83,1,2,,4,2,2,2,2,92,1,,0,5,,1,1,0,,2,0,,6,6,2,uln4i2w2
Pollution,317,vxy1i9hq,169,169,A_Planet3_ES,End,29:30.6,1,ES,97,0,2,,4,2,2,2,2,85,1,,0,4,,0,3,0,,2,2,,4,4,3,uln4i2w2
Public Services,318,lufojmvn,169,169,A_Planet3_ES,End,05:05.8,1,ES,90,1,2,,4,0,2,2,0,97,0,,0,3,,1,0,1,,6,2,,5,4,4,uln4i2w2
Road Pricing,319,bibkwoeq,169,169,A_Planet3_ES,End,36:58.9,1,ES,81,0,2,,4,0,2,0,0,93,0,,0,3,,0,1,0,,2,0,,4,5,3,uln4i2w2
Social Norm,320,5bujm85s,169,169,A_Planet3_ES,End,32:29.0,1,ES,143,1,2,,4,2,2,2,5,88,6,,1,2,,2,1,1,,4,1,,4,5,2,uln4i2w2
Baseline,321,5y337x7e,169,169,A_Planet3_ES,End,13:50.6,1,ES,80,1,1,1,4,0,2,2,2,79,0,,0,3,,0,3,0,,0,1,,3,6,3,uln4i2w2
Pollution,322,p7l67ukz,169,169,A_Planet3_ES,End,17:46.0,1,ES,64,1,0,1,,2,2,2,2,5,1,,1,0,,1,1,5,1,3,1,,4,5,4,uln4i2w2
Public Services,323,p23no2x0,169,169,A_Planet3_ES,End,53:59.6,1,ES,82,1,0,2,,0,2,1,0,85,0,,0,2,,0,1,0,,0,1,,2,5,4,uln4i2w2
Road Pricing,324,nbqlqwhw,169,169,A_Planet3_ES,End,50:29.1,1,ES,78,1,1,1,2,1,2,2,2,64,1,,0,2,,1,2,0,,0,0,,3,3,2,uln4i2w2
Social Norm,325,ald8i2vp,169,169,A_Planet3_ES,End,12:25.2,1,ES,130,1,1,0,4,0,2,2,2,73,1,,0,4,,1,2,0,,0,1,,4,5,3,uln4i2w2
Baseline,326,ol1saa5z,169,169,A_Planet3_ES,End,21:59.7,1,ES,88,1,0,0,,0,1,1,2,88,1,,0,2,,0,0,1,,5,0,,4,5,2,uln4i2w2
Public Services,328,0l2vcpx9,169,169,A_Planet3_ES,End,34:26.2,1,ES,91,1,1,2,4,0,2,2,0,94,0,,0,3,,0,1,1,,6,1,,4,5,2,uln4i2w2
Road Pricing,329,qhy5uo0t,169,169,A_Planet3_ES,End,11:53.4,1,ES,4,0,2,,4,0,2,2,4,81,6,,0,2,,1,2,3,,4,0,,3,4,4,uln4i2w2
Social Norm,330,80erot00,169,169,A_Planet3_ES,End,10:43.6,1,ES,96,0,2,,4,0,2,2,2,88,1,,0,3,,0,2,0,,2,1,,4,6,3,uln4i2w2
Baseline,331,hugol910,169,169,A_Planet3_ES,End,09:40.6,1,ES,65,0,1,1,4,0,1,2,2,73,1,,1,4,,1,1,0,,1,0,,2,4,3,uln4i2w2
Pollution,332,e7h9rbd1,169,169,A_Planet3_ES,End,52:42.8,1,ES,90,0,2,,4,0,2,1,4,82,1,,0,3,,0,1,1,,6,1,,1,4,4,uln4i2w2
Public Services,333,rsbs1p9q,169,169,A_Planet3_ES,End,24:22.2,1,ES,73,1,1,0,4,0,2,2,0,81,0,,0,4,,0,1,1,,0,0,,2,4,3,uln4i2w2
Road Pricing,334,q0dydon9,169,169,A_Planet3_ES,End,06:07.5,1,ES,28,1,1,1,4,0,2,2,2,88,5,,2,2,,1,2,1,,0,1,,4,5,3,uln4i2w2
Social Norm,335,f479a1b0,169,169,A_Planet3_ES,End,39:26.8,1,ES,87,1,1,1,4,1,2,2,2,83,1,,1,3,,1,1,0,,8,1,,3,4,4,uln4i2w2
Baseline,336,qt2e9f7u,169,169,A_Planet3_ES,End,10:56.7,1,ES,81,1,2,,4,0,2,2,0,98,0,,0,4,,2,1,0,,1,0,,2,4,4,uln4i2w2
Pollution,337,y12trzda,169,169,A_Planet3_ES,End,51:07.0,1,ES,95,1,1,2,4,0,2,2,0,94,0,,0,3,,0,2,1,,0,0,,2,4,3,uln4i2w2
Public Services,338,7qxsg9eo,169,169,A_Planet3_ES,End,26:04.9,1,ES,182,1,0,1,,1,1,1,2,12,6,,0,4,,1,3,3,,0,1,,5,4,3,uln4i2w2
Road Pricing,339,sc4brc2t,169,169,A_Planet3_ES,End,42:29.1,1,ES,88,1,1,0,4,0,2,2,2,81,2,,1,5,,2,1,0,,2,0,,2,4,4,uln4i2w2
Social Norm,340,8rdefmgd,169,169,A_Planet3_ES,End,09:21.8,1,ES,57,1,0,1,,0,2,0,0,128,0,,0,0,,1,0,1,1,2,2,,2,4,3,uln4i2w2
Baseline,341,d7s9vzd3,169,169,A_Planet3_ES,End,30:02.1,1,ES,9,0,2,,3,2,2,0,2,2,4,,3,4,,1,0,1,,6,1,,6,6,3,uln4i2w2
Public Services,343,yr5ven0y,150,169,A_Planet3_ES,A3c,17:32.7,1,ES,89,1,1,1,4,0,2,2,2,81,0,,0,3,,1,1,0,,6,0,,2,4,2,uln4i2w2
Road Pricing,344,n01qkm8k,169,169,A_Planet3_ES,End,27:11.9,1,ES,143,1,0,1,,0,2,2,0,0,0,,0,0,,0,2,1,1,4,2,,3,4,2,uln4i2w2
Baseline,1,fa0lgio1,169,169,A_Planet3_ES,End,56:16.8,1,ES,93,1,0,1,,1,1,1,2,88,4,,2,2,,1,1,1,,9,3,,1,5,4,2lf8iml1
Pollution,2,xmx5q4c1,169,169,A_Planet3_ES,End,24:17.4,1,ES,80,0,2,,4,0,2,2,2,64,1,,0,3,,1,1,2,,4,1,,4,5,4,2lf8iml1
Public Services,3,c67lysj2,169,169,A_Planet3_ES,End,10:55.0,1,ES,196,1,1,0,4,0,0,1,2,73,1,,1,0,,1,0,1,1,3,1,,3,5,3,2lf8iml1
Road Pricing,4,q7ay2dyw,169,169,A_Planet3_ES,End,25:28.3,1,ES,83,0,2,,4,0,2,2,2,89,1,,0,2,,1,0,0,,5,0,,3,4,5,2lf8iml1
Social Norm,5,px6jzykt,169,169,A_Planet3_ES,End,29:47.5,1,ES,85,1,0,1,,0,0,2,0,169,0,,0,0,,2,0,2,1,2,2,,1,3,4,2lf8iml1
Baseline,6,e40ivckh,169,169,A_Planet3_ES,End,30:39.8,1,ES,93,1,1,1,4,1,2,1,0,169,0,,0,4,,1,1,2,,0,1,,3,4,3,2lf8iml1
Pollution,7,pqshn95a,169,169,A_Planet3_ES,End,29:17.1,1,ES,96,1,1,0,4,0,2,2,2,96,5,,2,5,,2,0,0,,6,0,,4,5,5,2lf8iml1
Public Services,8,3yqq014n,169,169,A_Planet3_ES,End,04:59.6,1,ES,85,1,1,2,4,0,2,2,0,81,0,,0,3,,1,2,1,,4,1,,2,4,3,2lf8iml1
Road Pricing,9,lmax1dnp,169,169,A_Planet3_ES,End,14:20.0,1,ES,64,1,0,0,,1,2,2,0,81,0,,0,4,,0,2,2,,10,,"podria ir en coche pero tardaria el mismo tiempo, me gastaría el mismo dinero o mas, y contaminaria mas",3,4,3,2lf8iml1
Social Norm,10,uz6r7y1o,169,169,A_Planet3_ES,End,53:11.4,1,ES,83,0,1,0,4,0,2,2,2,64,1,,0,3,,1,2,0,,1,0,,3,5,2,2lf8iml1
Baseline,11,5poonmd4,169,169,A_Planet3_ES,End,12:50.2,1,ES,81,1,0,0,,0,2,2,0,14,0,,0,0,,1,1,1,1,2,2,,4,5,2,2lf8iml1
Pollution,12,p62frwui,169,169,A_Planet3_ES,End,27:53.3,1,ES,94,0,1,2,2,1,1,1,0,85,0,,0,2,,1,1,1,,5,0,,4,5,3,2lf8iml1
Road Pricing,14,z1wokq82,169,169,A_Planet3_ES,End,12:24.4,1,ES,73,1,0,1,,1,1,1,1,64,0,,0,0,,1,1,3,1,3,0,,3,5,3,2lf8iml1
Social Norm,15,kst6pwde,169,169,A_Planet3_ES,End,37:29.6,1,ES,6,1,2,,4,0,2,2,1,6,0,,0,3,,1,0,0,,5,1,,3,1,3,2lf8iml1
Baseline,16,n7d17j2o,169,169,A_Planet3_ES,End,41:52.2,1,ES,14,0,1,0,0,0,2,1,2,81,1,,1,2,,0,1,3,,1,0,,3,3,2,2lf8iml1
Pollution,17,nh0e0dxo,169,169,A_Planet3_ES,End,04:15.7,1,ES,39,1,0,0,,0,2,2,0,81,2,,0,0,,0,2,3,1,4,2,,4,5,2,2lf8iml1
Public Services,18,az8sbz33,169,169,A_Planet3_ES,End,06:36.3,1,ES,95,0,2,,4,1,2,1,2,73,1,,1,4,,1,1,0,,2,1,,3,4,3,2lf8iml1
Road Pricing,19,mfl4uw7h,169,169,A_Planet3_ES,End,04:04.0,1,ES,64,1,1,0,4,0,2,2,2,81,6,,2,4,,1,1,0,,2,1,,4,5,3,2lf8iml1
Social Norm,20,hz14r7oj,169,169,A_Planet3_ES,End,38:47.0,1,ES,92,1,1,1,4,0,2,0,0,82,0,,0,5,,2,1,0,,6,0,,3,5,3,2lf8iml1
Pollution,22,mchqhv52,169,169,A_Planet3_ES,End,16:17.0,1,ES,139,0,1,2,4,0,1,1,2,64,1,,0,2,,0,1,0,,0,1,,4,5,3,2lf8iml1
Public Services,23,zb32d88s,169,169,A_Planet3_ES,End,59:02.9,1,ES,72,1,1,1,4,2,2,2,0,72,0,,0,4,,0,3,0,,0,1,,2,4,3,2lf8iml1
Road Pricing,24,oyol3873,169,169,A_Planet3_ES,End,45:02.2,1,ES,88,1,1,2,4,2,2,2,1,73,1,,0,0,,2,1,4,1,2,2,,2,5,3,2lf8iml1
Social Norm,25,fuwhzhca,169,169,A_Planet3_ES,End,07:23.4,1,ES,139,1,1,0,0,0,2,2,2,73,1,,0,4,,1,3,0,,0,0,,4,4,2,2lf8iml1
Baseline,26,kq4x3e9z,169,169,A_Planet3_ES,End,02:37.4,1,ES,89,1,1,2,4,0,2,2,2,4,1,,0,0,,1,1,2,1,4,2,,3,5,2,2lf8iml1
Pollution,27,zbdm1uut,169,169,A_Planet3_ES,End,04:32.6,1,ES,143,1,0,0,,1,2,2,2,169,0,,0,4,,0,3,2,,0,0,,3,4,3,2lf8iml1
Public Services,28,bgot6tf1,169,169,A_Planet3_ES,End,28:18.2,1,ES,121,1,2,,1,2,2,2,0,81,7,Ocio,1,4,,1,1,3,,0,0,,1,5,4,2lf8iml1
Road Pricing,29,yve5slih,169,169,A_Planet3_ES,End,32:22.8,1,ES,73,1,2,,4,1,2,2,2,81,6,,3,3,,1,2,0,,0,0,,2,4,3,2lf8iml1
Social Norm,30,m9i0j1z8,169,169,A_Planet3_ES,End,03:15.4,1,ES,81,1,1,0,2,1,2,2,0,81,0,,0,1,,2,0,4,1,3,2,,3,5,2,2lf8iml1
Baseline,31,6zltsyae,169,169,A_Planet3_ES,End,03:26.6,1,ES,81,1,1,0,4,0,1,2,0,5,0,,0,0,,0,2,2,1,3,2,,1,4,4,2lf8iml1
Pollution,32,knvtxixl,169,169,A_Planet3_ES,End,58:47.6,1,ES,96,0,2,,0,2,2,2,0,12,0,,1,4,,1,1,2,,2,1,,3,5,2,2lf8iml1
Public Services,33,wi35em2p,169,169,A_Planet3_ES,End,54:14.7,1,ES,83,0,1,2,2,1,1,1,2,5,3,,1,1,,2,4,1,0,8,0,,4,4,3,2lf8iml1
