treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Road Pricing,34,35iqfvy9,169,169,A_Planet3_ES,End,14:46.8,1,ES,64,1,1,1,4,2,2,2,2,81,0,,0,4,,0,1,0,,3,1,,1,5,3,2lf8iml1
Social Norm,35,coa5za4o,169,169,A_Planet3_ES,End,14:47.4,1,ES,90,1,2,,4,2,2,2,4,81,1,,1,2,,1,0,1,,3,1,,1,4,4,2lf8iml1
Baseline,36,1dtj1oad,169,169,A_Planet3_ES,End,30:43.7,1,ES,78,1,1,1,4,0,2,2,2,73,1,,0,4,,1,1,0,,0,0,,3,5,3,2lf8iml1
Pollution,37,mi5e379o,169,169,A_Planet3_ES,End,55:51.2,1,ES,84,1,0,0,,2,2,2,0,82,0,,0,2,,1,1,1,,3,0,,3,5,3,2lf8iml1
Public Services,38,lbw72pg8,169,169,A_Planet3_ES,End,06:30.0,1,ES,98,0,1,0,4,0,2,2,2,73,1,,0,4,,1,1,0,,3,0,,3,4,3,2lf8iml1
Road Pricing,39,1qq9pbma,169,169,A_Planet3_ES,End,23:32.0,1,ES,91,1,0,1,,1,2,2,0,92,0,,0,3,,0,0,1,,6,0,,2,4,3,2lf8iml1
Social Norm,40,6gp7y3ye,169,169,A_Planet3_ES,End,47:14.5,1,ES,64,1,0,0,,0,0,2,2,81,6,,2,4,,1,1,0,,2,1,,3,4,3,2lf8iml1
Baseline,41,4620ro3l,169,169,A_Planet3_ES,End,08:00.1,1,ES,90,1,2,,0,1,2,1,0,84,0,,0,3,,0,2,0,,2,2,,1,3,4,2lf8iml1
Pollution,42,2x2js4b1,169,169,A_Planet3_ES,End,07:18.0,1,ES,78,0,1,1,4,0,1,1,0,82,0,,1,4,,1,1,1,,0,0,,2,5,4,2lf8iml1
Public Services,43,agjjv68b,169,169,A_Planet3_ES,End,06:24.6,1,ES,46,1,0,0,,2,2,2,0,81,0,,0,0,,1,1,1,1,10,,No hay conexión,2,3,2,2lf8iml1
Road Pricing,44,upf8ed0o,169,169,A_Planet3_ES,End,11:54.7,1,ES,98,1,2,,4,1,2,1,1,130,0,,1,4,,1,2,1,,1,0,,3,5,3,2lf8iml1
Social Norm,45,sv5rbzw2,169,169,A_Planet3_ES,End,21:59.5,1,ES,86,0,2,,4,1,2,1,2,64,1,,2,3,,0,2,0,,1,0,,3,5,5,2lf8iml1
Baseline,46,qcbd7hx4,169,169,A_Planet3_ES,End,11:34.9,1,ES,88,1,1,2,4,1,1,1,2,64,1,,2,3,,1,1,0,,4,0,,3,5,2,2lf8iml1
Pollution,47,22q5t8ym,169,169,A_Planet3_ES,End,28:35.8,1,ES,8,1,0,3,,0,2,2,0,81,0,,0,0,,1,2,3,1,2,2,,4,2,3,2lf8iml1
Public Services,48,5k6w1v0s,169,169,A_Planet3_ES,End,47:50.8,1,ES,64,1,1,0,4,0,2,1,2,64,1,,2,5,,2,0,0,,7,1,,3,4,3,2lf8iml1
Road Pricing,49,7q1hvcvw,169,169,A_Planet3_ES,End,43:20.3,1,ES,81,0,2,,4,2,2,2,0,194,0,,0,2,,1,2,1,,2,0,,4,5,2,2lf8iml1
Social Norm,50,frepaiwn,169,169,A_Planet3_ES,End,35:31.8,1,ES,13,1,1,1,4,0,2,2,2,73,1,,2,2,,1,1,0,,1,0,,2,5,3,2lf8iml1
Baseline,51,syp06wkt,169,169,A_Planet3_ES,End,07:31.6,1,ES,78,1,1,1,2,1,2,1,0,83,0,,0,2,,2,1,0,,5,0,,3,4,2,2lf8iml1
Pollution,52,f9jbykzb,169,169,A_Planet3_ES,End,55:23.0,1,ES,13,0,2,,4,2,2,2,1,64,1,,0,2,,1,2,2,,10,,no tengo metro cerca de casa,2,5,4,2lf8iml1
Public Services,53,rwuy8jm4,169,169,A_Planet3_ES,End,26:41.0,1,ES,8,1,0,1,,2,2,2,0,150,0,,0,0,,2,0,1,1,2,1,,2,4,4,2lf8iml1
Road Pricing,54,ahvyg7u9,169,169,A_Planet3_ES,End,13:50.2,1,ES,4,0,2,,4,2,2,2,2,10,0,,1,2,,1,2,2,,1,1,,5,3,1,2lf8iml1
Social Norm,55,75aw7pog,169,169,A_Planet3_ES,End,06:38.5,1,ES,94,1,2,,2,1,2,1,0,150,0,,0,3,,1,1,0,,2,1,,3,4,3,2lf8iml1
Baseline,56,rpczrw41,169,169,A_Planet3_ES,End,19:25.2,1,ES,121,0,2,,4,2,2,2,4,81,4,,0,4,,0,2,5,,1,0,,5,1,4,2lf8iml1
Pollution,57,3k4s9wum,169,169,A_Planet3_ES,End,21:49.4,1,ES,65,1,0,0,,2,2,2,0,73,0,,0,0,,0,2,0,1,2,2,,4,5,2,2lf8iml1
Public Services,58,7ta5e9pr,169,169,A_Planet3_ES,End,51:28.1,1,ES,73,1,0,0,,2,2,2,0,81,0,,0,4,,0,2,1,,0,2,,2,4,5,2lf8iml1
Road Pricing,59,fk9mggvd,169,169,A_Planet3_ES,End,07:20.1,1,ES,88,1,1,1,4,2,2,2,0,85,0,,0,3,,0,2,1,,0,0,,4,3,3,2lf8iml1
Social Norm,60,uycpcdrb,169,169,A_Planet3_ES,End,23:44.7,1,ES,97,1,2,,4,1,1,1,0,83,0,,0,3,,0,1,1,,8,0,,2,5,4,2lf8iml1
Baseline,61,6800e6dn,169,169,A_Planet3_ES,End,21:46.9,1,ES,96,1,0,2,,0,2,2,0,86,0,,0,0,,2,0,0,1,6,1,,3,4,3,2lf8iml1
Pollution,62,1yk1x5x8,169,169,A_Planet3_ES,End,45:39.9,1,ES,139,1,1,0,2,0,2,2,2,96,1,,0,3,,1,1,0,,0,1,,4,5,3,2lf8iml1
Public Services,63,838eq5dh,169,169,A_Planet3_ES,End,48:20.0,1,ES,64,0,1,1,4,0,2,2,2,73,6,,2,3,,1,1,0,,2,1,,3,4,3,2lf8iml1
Road Pricing,64,wv4ulpsv,169,169,A_Planet3_ES,End,38:50.2,1,ES,91,0,1,1,4,0,1,0,0,92,0,,0,3,,0,0,1,,7,0,,1,3,1,2lf8iml1
Social Norm,65,nzv4fh3l,169,169,A_Planet3_ES,End,58:25.3,1,ES,93,1,1,0,2,2,2,2,2,64,1,,1,0,,1,1,2,1,4,0,,3,4,2,2lf8iml1
Baseline,66,qfjc5hk1,169,169,A_Planet3_ES,End,05:26.8,1,ES,110,1,0,0,,1,2,1,0,196,5,,2,0,,2,0,1,1,1,1,,3,5,4,2lf8iml1
Pollution,67,rpudlr27,169,169,A_Planet3_ES,End,26:08.8,1,ES,139,0,2,,4,0,2,1,1,82,0,,0,3,,0,3,1,,1,1,,2,4,3,2lf8iml1
Public Services,68,wbthyd6j,169,169,A_Planet3_ES,End,18:41.3,1,ES,82,1,0,2,,0,2,2,4,82,4,,1,5,,2,1,0,,3,0,,1,4,4,2lf8iml1
Road Pricing,69,hfod0wg1,169,169,A_Planet3_ES,End,45:24.2,1,ES,98,0,1,0,4,1,1,1,2,64,1,,0,2,,0,1,1,,3,0,,2,2,3,2lf8iml1
Baseline,71,d23woyxn,169,169,A_Planet3_ES,End,43:55.3,1,ES,89,0,1,0,4,2,2,2,2,64,1,,0,3,,0,2,0,,0,0,,3,5,4,2lf8iml1
Pollution,72,7eiez12c,169,169,A_Planet3_ES,End,38:38.9,1,ES,60,1,1,1,4,0,2,2,2,73,1,,0,0,,0,2,3,1,0,0,,2,2,2,2lf8iml1
Public Services,73,0xs8g5ll,169,169,A_Planet3_ES,End,34:25.7,1,ES,80,1,1,2,4,0,2,2,2,73,1,,1,2,,1,1,0,,3,2,,2,5,3,2lf8iml1
Road Pricing,74,lotr8ql4,169,169,A_Planet3_ES,End,26:41.9,1,ES,84,1,1,1,4,2,2,2,2,73,1,,0,0,,1,1,1,1,1,0,,3,4,3,2lf8iml1
Baseline,76,50e2mzzw,169,169,A_Planet3_ES,End,41:36.8,1,ES,191,0,2,,4,2,2,2,2,64,1,,0,2,,2,2,3,,2,0,,5,4,2,2lf8iml1
Pollution,77,r15j5hvf,169,169,A_Planet3_ES,End,17:45.6,1,ES,6,0,0,0,,0,2,2,4,81,6,,1,3,,1,1,2,,4,1,,2,4,4,2lf8iml1
Public Services,78,xy0lli8b,169,169,A_Planet3_ES,End,57:27.4,1,ES,99,0,1,0,2,0,2,1,1,130,0,,0,2,,1,1,2,,0,0,,5,2,3,2lf8iml1
Social Norm,80,47tu19lp,169,169,A_Planet3_ES,End,11:47.1,1,ES,93,0,0,1,,0,2,2,1,93,0,,2,5,,2,0,0,,6,0,,1,4,4,2lf8iml1
Baseline,81,ms30m19j,169,169,A_Planet3_ES,End,37:28.6,1,ES,88,1,1,1,4,1,2,2,2,130,1,,1,2,,1,0,1,,0,2,,4,5,5,2lf8iml1
Pollution,82,a27r077p,169,169,A_Planet3_ES,End,35:30.5,1,ES,6,1,1,0,4,0,2,2,2,44,5,,1,2,,1,3,3,,0,0,,3,5,3,2lf8iml1
Public Services,83,6zolkqhe,169,169,A_Planet3_ES,End,02:35.7,1,ES,81,0,2,,4,1,2,1,2,64,1,,0,4,,1,1,0,,10,,No hay otro transporte público,3,4,2,2lf8iml1
Road Pricing,84,x3awvd5j,169,169,A_Planet3_ES,End,07:39.3,1,ES,80,1,0,0,,0,2,1,1,169,0,,0,4,,1,3,0,,0,0,,4,5,3,2lf8iml1
Social Norm,85,ehspbg9y,169,169,A_Planet3_ES,End,37:00.9,1,ES,43,1,0,0,,0,2,2,0,83,0,,0,0,,0,2,2,1,2,2,,3,5,2,2lf8iml1
Baseline,86,029z3dj5,169,169,A_Planet3_ES,End,27:48.2,1,ES,83,1,1,1,4,2,2,2,2,88,1,,1,5,,2,1,0,,6,0,,1,2,4,2lf8iml1
Pollution,87,qf73ejh2,169,169,A_Planet3_ES,End,36:02.1,1,ES,84,0,2,,4,0,2,1,1,93,7,Deporte,2,5,,1,1,1,,6,0,,6,4,3,2lf8iml1
Public Services,88,3483pxq6,169,169,A_Planet3_ES,End,30:15.9,1,ES,82,1,0,2,,0,2,1,3,79,6,,0,0,,2,0,1,1,9,2,,3,4,4,2lf8iml1
Road Pricing,89,a1y6lpn8,169,169,A_Planet3_ES,End,13:22.1,1,ES,92,0,2,,4,2,2,2,2,83,5,,2,2,,0,1,0,,0,0,,3,4,5,2lf8iml1
Social Norm,90,v8xoii7u,169,169,A_Planet3_ES,End,06:09.3,1,ES,83,1,2,,4,1,1,2,2,73,1,,1,4,,1,2,0,,2,1,,4,5,2,2lf8iml1
Baseline,91,0jquzxbb,169,169,A_Planet3_ES,End,06:40.1,1,ES,82,1,1,0,4,2,0,2,0,86,0,,0,8,,1,0,0,1,4,2,,3,5,3,2lf8iml1
Pollution,92,hta0lh8i,169,169,A_Planet3_ES,End,22:42.6,1,ES,83,1,1,1,4,0,1,1,0,130,0,,0,2,,1,1,0,,0,0,,2,5,3,2lf8iml1
Public Services,93,cka5nhzf,169,169,A_Planet3_ES,End,38:42.9,1,ES,87,1,1,1,2,1,2,2,2,81,1,,3,3,,2,0,1,,2,1,,2,4,4,2lf8iml1
Road Pricing,94,0uzpul3x,169,169,A_Planet3_ES,End,06:56.5,1,ES,81,1,0,0,,2,1,2,0,64,0,,0,2,,0,1,0,,3,2,,5,4,1,2lf8iml1
Social Norm,95,a9anb1bo,169,169,A_Planet3_ES,End,31:13.5,1,ES,44,0,2,,4,2,2,2,0,81,1,,0,2,,1,0,2,,2,0,,5,4,1,2lf8iml1
Baseline,96,h4b4yim5,29,169,A_Planet2_ES,Choice,24:24.7,1,ES,89,1,1,0,4,0,2,2,2,64,1,,0,2,,0,2,0,,0,0,,4,5,3,2lf8iml1
Pollution,97,mdprjoeo,169,169,A_Planet3_ES,End,44:24.3,1,ES,91,1,1,0,4,0,2,2,1,99,0,,0,0,,0,2,1,1,4,1,,2,5,4,2lf8iml1
Public Services,98,mkevhs61,169,169,A_Planet3_ES,End,55:00.7,1,ES,88,1,1,2,4,0,2,1,2,64,1,,0,4,,1,2,0,,3,0,,2,4,5,2lf8iml1
Road Pricing,99,vrpni1if,169,169,A_Planet3_ES,End,06:46.3,1,ES,78,1,1,1,3,0,2,2,0,73,1,,0,4,,1,2,0,,0,0,,3,4,4,2lf8iml1
Social Norm,100,gva8pxaw,169,169,A_Planet3_ES,End,12:24.1,1,ES,143,1,1,0,4,0,2,2,2,130,1,,0,0,,1,1,0,1,4,2,,4,5,3,2lf8iml1
Baseline,101,feimv38g,169,169,A_Planet3_ES,End,11:11.0,1,ES,73,1,2,,4,0,2,2,2,82,5,,2,4,,1,3,5,,2,1,,2,3,3,2lf8iml1
Public Services,103,9bfpp832,169,169,A_Planet3_ES,End,40:42.9,1,ES,93,0,2,,4,2,2,2,2,64,1,,1,3,,0,3,0,,1,0,,4,5,5,2lf8iml1
Road Pricing,104,hi7l35rx,169,169,A_Planet3_ES,End,19:09.1,1,ES,110,0,1,0,4,0,2,2,2,48,0,,0,4,,0,2,2,,1,0,,2,5,4,2lf8iml1
Social Norm,105,lm08pz14,169,169,A_Planet3_ES,End,06:38.0,1,ES,156,0,1,1,4,2,2,2,2,169,1,,0,2,,0,3,0,,0,0,,3,4,2,2lf8iml1
Social Norm,110,62ij9lb3,169,169,A_Planet3_ES,End,50:16.5,1,ES,5,0,1,1,0,1,2,2,2,11,3,,3,2,,1,2,0,,1,2,,2,2,2,2lf8iml1
Public Services,18,3xyphd9d,169,169,A_Planet3_ES,End,52:21.5,1,ES,80,0,0,2,,0,2,2,0,78,1,,2,5,,2,0,1,,3,0,,1,3,1,heqbzlzk
Road Pricing,19,8vk1zygw,168,169,A_Planet3_ES,Comments,27:18.0,1,ES,84,1,0,0,,2,2,2,1,87,0,,0,3,,0,2,0,,0,2,,1,4,4,heqbzlzk
Pollution,27,si7dyywv,8,169,A_Planet1_ES,B6,40:33.3,1,ES,81,1,1,1,2,0,2,1,0,,,,,,,,,,,,,,,,,heqbzlzk
Baseline,31,xhy8g2fa,169,169,A_Planet3_ES,End,22:10.5,1,ES,85,1,1,0,4,1,2,2,2,64,1,,1,4,,0,3,4,,0,0,,3,4,3,heqbzlzk
Public Services,38,taksclxz,1,169,A_Planet1_ES,A1,00:25.3,1,EN,,,,,,,,,,,,,,,,,,,,,,,,,,heqbzlzk
Road Pricing,44,z0y2qqks,169,169,A_Planet3_ES,End,18:41.1,1,ES,88,1,0,2,,2,2,2,3,83,5,,0,3,,2,0,0,,0,0,,2,2,2,heqbzlzk
Social Norm,50,r2xgpmov,169,169,A_Planet3_ES,End,32:31.7,1,ES,78,1,2,,4,1,2,1,2,64,1,,1,2,,1,2,0,,4,1,,4,5,3,heqbzlzk
Public Services,53,wogja272,169,169,A_Planet3_ES,End,14:28.5,1,ES,94,0,2,,1,0,2,1,2,79,0,,0,2,,1,1,2,,0,1,,4,5,3,heqbzlzk
Public Services,58,1bkml2p1,169,169,A_Planet3_ES,End,10:10.0,1,ES,78,1,0,0,,1,2,0,2,64,1,,0,0,,2,0,3,1,3,1,,6,6,5,heqbzlzk
Baseline,61,4j4o13qr,169,169,A_Planet3_ES,End,07:02.2,1,ES,98,1,1,1,4,0,2,2,1,81,0,,0,3,,0,2,1,,0,0,,2,4,3,heqbzlzk
Public Services,68,v7m3sh4r,29,169,A_Planet2_ES,Choice,16:19.6,1,ES,0,1,0,1,,2,2,2,2,0,1,,0,0,,1,0,3,1,0,3,,2,4,4,heqbzlzk
Social Norm,70,l7g8qcnp,1,169,A_Planet1_ES,A1,21:20.0,1,EN,,,,,,,,,,,,,,,,,,,,,,,,,,heqbzlzk
Pollution,72,98mud61u,169,169,A_Planet3_ES,End,37:11.6,1,ES,175,1,1,1,0,0,2,2,2,64,1,,0,0,,1,1,3,1,2,2,,3,4,3,heqbzlzk
Public Services,88,n32txlta,169,169,A_Planet3_ES,End,46:15.9,1,ES,89,0,1,0,4,1,2,2,2,6,1,,0,3,,1,2,0,,4,1,,1,4,4,heqbzlzk
Baseline,91,lgj0i09t,169,169,A_Planet3_ES,End,59:39.6,1,ES,45,0,1,1,4,2,2,2,2,81,1,,0,2,,1,3,2,,1,3,,4,5,2,heqbzlzk
Road Pricing,99,3q21hgiu,169,169,A_Planet3_ES,End,20:10.3,1,ES,176,1,1,1,4,0,2,2,2,176,0,,2,0,,2,0,1,1,2,1,,1,4,3,heqbzlzk
Public Services,103,81n0mejc,169,169,A_Planet3_ES,End,27:33.6,1,ES,90,1,1,1,4,2,2,2,0,83,0,,0,3,,0,2,0,,1,0,,2,5,3,heqbzlzk
Social Norm,105,7k64m440,2,169,A_Planet1_ES,A2,33:09.5,1,ES,,,,,,,,,,,,,,,,,,,,,,,,,,heqbzlzk
Public Services,113,pa1gh8mp,169,169,A_Planet3_ES,End,25:41.6,1,ES,95,1,1,1,4,0,2,2,2,73,1,,0,2,,2,2,1,,0,0,,3,5,3,heqbzlzk
Pollution,122,hs5ulp84,169,169,A_Planet3_ES,End,07:33.0,1,ES,89,1,1,2,4,2,2,2,0,88,0,,0,4,,1,1,1,,8,0,,1,3,3,heqbzlzk
Social Norm,135,0ohzhbcm,169,169,A_Planet3_ES,End,45:24.9,1,ES,79,0,1,0,4,0,2,2,2,81,1,,0,3,,1,1,0,,2,0,,1,4,3,heqbzlzk
Social Norm,150,mavrneio,169,169,A_Planet3_ES,End,29:42.2,1,ES,78,1,0,0,,1,2,2,0,73,0,,0,0,,1,1,1,1,4,1,,3,4,3,heqbzlzk
Public Services,153,617sw78i,169,169,A_Planet3_ES,End,12:23.3,1,ES,81,0,2,,1,0,2,1,1,91,6,,0,5,,1,1,0,,6,0,,2,4,3,heqbzlzk
Baseline,156,zs8f7x1z,169,169,A_Planet3_ES,End,02:25.4,1,ES,86,0,1,1,4,0,2,2,2,82,0,,0,2,,1,0,1,,5,2,,2,5,3,heqbzlzk
Social Norm,160,ja19mtsc,168,169,A_Planet3_ES,Comments,50:48.7,1,ES,64,1,2,,4,2,2,2,2,64,1,,0,5,,2,0,0,,7,1,,3,5,3,heqbzlzk
Social Norm,165,s5sm5g67,169,169,A_Planet3_ES,End,18:04.0,1,ES,84,1,2,,4,2,2,2,0,88,0,,0,9,VTC,1,1,4,,3,0,,3,4,3,heqbzlzk
Baseline,171,cgkvcf09,1,169,A_Planet1_ES,A1,16:59.6,1,EN,,,,,,,,,,,,,,,,,,,,,,,,,,heqbzlzk
Public Services,178,wjemszde,169,169,A_Planet3_ES,End,37:27.4,1,ES,89,1,1,1,4,1,2,2,2,64,1,,1,0,,2,0,1,1,2,1,,2,4,3,heqbzlzk
Pollution,202,a0srau90,169,169,A_Planet3_ES,End,17:36.7,1,ES,98,1,0,2,,2,2,2,0,90,0,,0,3,,1,1,1,,0,2,,4,5,4,heqbzlzk
Social Norm,210,6hrflglq,169,169,A_Planet3_ES,End,21:36.7,1,ES,78,1,0,0,,0,2,2,2,64,1,,2,2,,1,2,0,,0,1,,4,5,3,heqbzlzk
Road Pricing,214,zr4f7np0,169,169,A_Planet3_ES,End,14:04.3,1,ES,143,1,0,0,,0,2,2,2,64,1,,0,3,,0,3,3,,1,0,,3,5,3,heqbzlzk
Public Services,218,ka4kcuj6,169,169,A_Planet3_ES,End,56:06.4,1,ES,81,0,2,,0,2,1,2,2,64,1,,0,4,,1,3,3,,0,0,,4,5,2,heqbzlzk
Baseline,221,t6jrxb8h,169,169,A_Planet3_ES,End,20:33.9,1,ES,98,1,0,0,,0,2,1,0,162,0,,0,0,,1,1,2,1,4,2,,2,4,3,heqbzlzk
Public Services,228,irpift4n,169,169,A_Planet3_ES,End,42:13.8,1,ES,139,1,1,1,4,2,2,2,2,64,1,,1,0,,2,1,2,1,2,1,,3,5,3,heqbzlzk
Baseline,231,qfq3450r,169,169,A_Planet3_ES,End,52:55.4,1,ES,87,1,1,0,4,1,2,2,2,87,4,,0,4,,0,2,0,,1,0,,3,5,4,heqbzlzk
Public Services,253,47vka7wf,169,169,A_Planet3_ES,End,56:53.3,1,ES,82,0,2,,2,1,2,0,2,64,1,,0,3,,0,3,0,,1,0,,1,4,5,heqbzlzk
Public Services,263,6oq7522q,169,169,A_Planet3_ES,End,15:58.9,1,ES,88,1,0,0,,1,2,1,2,64,1,,1,0,,0,1,3,1,3,1,,4,3,2,heqbzlzk
Social Norm,285,1iout7iu,169,169,A_Planet3_ES,End,45:26.4,1,ES,93,0,1,0,0,1,2,1,1,64,1,,0,3,,1,1,0,,2,2,,2,5,3,heqbzlzk
Public Services,298,wvnuyr7a,169,169,A_Planet3_ES,End,33:45.3,1,ES,87,1,0,1,,0,2,2,0,88,0,,0,0,,1,0,0,1,2,1,,2,5,3,heqbzlzk
Social Norm,300,mpotx31k,169,169,A_Planet3_ES,End,34:03.7,1,ES,6,1,1,0,2,0,2,2,0,82,0,,0,3,,0,2,1,,0,0,,3,4,3,heqbzlzk
Baseline,311,k0j0sume,2,169,A_Planet1_ES,A2,08:07.2,1,ES,,,,,,,,,,,,,,,,,,,,,,,,,,heqbzlzk
Road Pricing,314,zmc7y902,169,169,A_Planet3_ES,End,38:57.5,1,ES,73,0,1,2,4,1,2,2,0,80,6,,2,2,,1,1,1,,1,1,,1,5,4,heqbzlzk
Baseline,316,88kvwn4t,169,169,A_Planet3_ES,End,52:22.7,1,ES,84,1,2,,4,1,2,2,0,87,0,,0,3,,0,2,0,,10,,no tengo coche y el resto de transporte público es demasiado extendido en el tiempo,2,4,3,heqbzlzk
Social Norm,320,bzir2hoz,169,169,A_Planet3_ES,End,22:31.2,1,ES,6,0,1,0,4,0,2,2,1,73,1,,0,2,,1,2,0,,0,0,,3,5,3,heqbzlzk
Pollution,322,hmmuist1,169,169,A_Planet3_ES,End,02:48.5,1,ES,64,1,1,1,4,2,2,2,2,64,1,,1,5,,1,0,0,,6,0,,3,5,3,heqbzlzk
Public Services,343,j3ffrmtb,169,169,A_Planet3_ES,End,50:46.6,1,ES,98,1,1,0,4,1,2,2,2,98,1,,0,3,,1,0,0,,2,0,,3,6,4,heqbzlzk
Public Services,353,9u8qjucd,169,169,A_Planet3_ES,End,40:10.7,1,ES,84,0,1,1,1,2,2,2,2,64,1,,0,3,,1,3,0,,8,0,,2,3,3,heqbzlzk
Road Pricing,354,ke555nhm,169,169,A_Planet3_ES,End,23:46.5,1,ES,81,1,1,1,4,1,2,2,2,64,1,,0,2,,1,2,0,,4,1,,2,4,3,heqbzlzk
Baseline,356,yzvzh626,169,169,A_Planet3_ES,End,45:26.8,1,ES,78,1,0,1,,0,2,2,0,81,3,,0,2,,1,1,0,,0,0,,2,5,3,heqbzlzk
Pollution,357,ilct1p4s,169,169,A_Planet3_ES,End,46:50.2,1,ES,81,0,2,,4,1,2,1,2,64,1,,1,4,,0,2,1,,3,1,,2,4,3,heqbzlzk
Public Services,363,3glf1vq0,1,169,A_Planet1_ES,A1,24:54.8,1,EN,,,,,,,,,,,,,,,,,,,,,,,,,,heqbzlzk
Pollution,372,g0tx0y9d,169,169,A_Planet3_ES,End,31:48.1,1,ES,92,1,1,0,4,0,1,2,2,73,1,,1,0,,1,1,1,1,4,2,,3,5,3,heqbzlzk
Public Services,373,55g1eqaq,7,169,A_Planet1_ES,B3,59:14.9,1,ES,81,1,2,,4,,,,0,,,,,,,,,,,,,,,,,heqbzlzk
Pollution,377,1d2tpjt4,169,169,A_Planet3_ES,End,56:07.3,1,ES,81,1,1,1,1,1,2,1,0,87,5,,2,3,,1,0,1,,2,1,,2,4,3,heqbzlzk
Social Norm,385,emins2el,169,169,A_Planet3_ES,End,24:05.8,1,ES,81,1,0,0,,2,2,2,2,64,1,,2,3,,1,2,2,,1,0,,1,4,3,heqbzlzk
Pollution,392,rz5has1n,81,169,A_Planet2_ES,Choice,26:19.1,1,ES,83,1,2,,4,2,2,2,0,86,0,,0,3,,1,2,2,,0,0,,4,4,2,heqbzlzk
Baseline,396,99ekoser,169,169,A_Planet3_ES,End,00:36.5,1,ES,85,1,0,0,,0,2,2,0,92,0,,0,1,,1,1,1,1,3,1,,4,5,2,heqbzlzk
Road Pricing,399,8nr05dcp,169,169,A_Planet3_ES,End,22:00.0,1,ES,46,1,0,1,,2,2,2,0,46,2,,0,0,,2,0,2,1,10,,En transporte público llevaria más tiempo. No poseo otro tipo de transporte,1,3,4,heqbzlzk
Social Norm,400,f1wh7sy7,169,169,A_Planet3_ES,End,59:08.6,1,ES,64,1,0,1,,2,2,2,0,91,0,,0,3,,0,2,3,,0,0,,3,4,3,heqbzlzk